speaker,island,word,intensity
MSC,Mauke,vaiꞌī,58.62358234
MSC,Mauke,vaiꞌī,54.67847197
MSC,Mauke,vaiꞌī,59.29339761
MSC,Mauke,vaiꞌī,57.96032197
MSC,Mauke,vaiꞌī,55.80173966
MSC,Mauke,vaiꞌī,50.1637878
JE,Mauke,vaka,52.48959634
JE,Mauke,vaka,50.7924349
JE,Mauke,vaka,51.04967252
JE,Mauke,vaka,54.97290171
JE,Mauke,vaka,54.6870752
JE,Mauke,vaka,51.66256109
JE,Mauke,vaka,55.34994795
JE,Mauke,vaka,53.38892214
JE,Mauke,vaka,47.51133204
JE,Mauke,vaka,47.1003398
JE,Mauke,vaka,52.30199109
JE,Mauke,vaka,53.0194569
JE,Mauke,vaka,47.99891318
JE,Mauke,vaka,54.33207297
JE,Mauke,vaka,51.21671486
JE,Mauke,vaka,52.17341605
JE,Mauke,vaka,57.42978495
JE,Mauke,vaka,57.77111877
JE,Mauke,vaka,50.95711786
JE,Mauke,vaka,52.76864601
JE,Mauke,vaka,50.14298072
JE,Mauke,vaka,49.76448466
JE,Mauke,vaka,51.54672565
JE,Mauke,vaka,51.19709187
JE,Mauke,vaka,51.7652575
JE,Mauke,vaka,51.71750963
JE,Mauke,vaka,50.10438569
JE,Mauke,vaka,52.37849445
JE,Mauke,vaka,50.3362535
JE,Mauke,vaka,53.00734636
JE,Mauke,vaka,55.17023943
JE,Mauke,vaka,53.96155729
JE,Mauke,vaka,49.63869962
JE,Mauke,vaka,52.97154779
JE,Mauke,vaka,53.33867117
JE,Mauke,vaka,52.42027081
JE,Mauke,vaka,54.12813497
JE,Mauke,vaka,49.05598582
JE,Mauke,vaka,54.94938091
JE,Mauke,vaka,63.23548224
JE,Mauke,vaka,54.70540611
JE,Mauke,vaka,52.8260619
JE,Mauke,vaka,51.89035288
JE,Mauke,vaka,51.65488272
JE,Mauke,vaka,62.64998103
JE,Mauke,vaka,58.34340283
JE,Mauke,vaka,56.0843077
JE,Mauke,vaka,55.90628556
JE,Mauke,vaka,52.34238538
JE,Mauke,vaka,60.05675027
JE,Mauke,vaka,59.67558661
JE,Mauke,vaka,62.22699158
JE,Mauke,vaka,57.69070324
JE,Mauke,vaka,51.71848284
JE,Mauke,vaka,55.66673869
